阿蚪可以燎原,30,2012-12-13,37,评分8.7 不至于吧？！
路可可,,2012-12-12,40,不好笑 豆瓣什么时候水这么深了
文白,30,2012-12-12,26,合格的工业流水线作品，看不出徐峥的导演能力，前途如何，要看下两部检验。没惊喜，没失望，不想推荐人看，也不想骂娘，不能因为华语片向来很差就把合格当成了优秀，这分明是两码事。
ILoveRMB,40,2012-12-12,34,是我看错了吗？那个老外左边（观众角度）的美女洗澡出来是不是露点了
NullPointer,30,2012-12-15,22,有言曰低级幽默是伸手去挠别人的胳肢窝，这部片子彻底放下身段，以给观众全身笑点做一次泰式按摩的风格引人发笑。因为它按摩得真的狠用力，加一星。
姬理绘,40,2012-12-10,26,看的试映会，以国产电影的标准，很好了。以后那个笑话可以说，冯小刚和徐铮之间差了100多个陆川。
悬崖上的鲸鱼君,50,2012-12-10,24,《人再囧途之泰囧》：本片延续了前作笑中带泪的喜剧境界，采用两人相争加一个搅局的搞笑设置，适当卖腐，令人捧腹不已。初执导筒的徐峥较好地把握影片节奏，让人在笑过之后感受真情的可贵，堪称本年度最好看的国产娱乐片。提名：最佳影片/最佳新导演（徐峥）/最佳男配角（黄渤）/最佳剧本。★★★★☆
亵渎电影,30,2012-12-22,21,看着【泰囧】的豆瓣评分，足见中国观众被这一年国产电影糟心到什么程度，看到这部一部及格的电影就毫不犹豫的将其捧为年度神作了。作为一部喜剧，天朝终于有能拍出像模像样的类型片的导演了！别整天费脑子瞎跟风了，照着类型片的套路走准没错。摄影和美术能再用心点就更大气更棒了。★★★
陌小夕,40,2012-12-11,22,豆瓣3！块！钱！提前观影，出乎意料的好看啊~3个二逼青年的奇幻之旅，各种三俗笑料不断！看完整张脸都僵掉了，感觉对国产喜剧又会爱了~散场时全场响起了掌声，很多人都坐到片尾花絮放完才离开，看了不会后悔的国产喜剧！！！
伊豆,30,2012-12-12,33,3星半吧，有几个桥段还是很好笑的。但可怕的是，走出电影院脑子里竟然回想不起来啥东西。王宝强完全本色出演，黄渤的角色没啥可发挥的。当还珠的音乐响起，我被吓了一跳。。。。我怀念《疯狂的石头》。
Pekingcat,20,2012-12-16,29,这个。。。真的好笑吗。。。你们知道8.6分有教父3吗？
小哀,50,2012-12-10,23,去看就对了！
蒜 | BOY A✎,50,2012-12-12,27,确实算得上2012年最好的国产喜剧片，如果你笑点低的话，可以笑满全场。本来计划给四颗星，结果最后被范爷的惊喜出场和还珠格格音乐，彻底爆到鼓掌，加一颗星。
住在电影院,50,2012-12-10,28,七星 我第一次给七星，少年派我给了六星，七星凑齐了，泰囧让我实现了一个从头笑到尾笑到岔气的愿望
吴糍糍,40,2012-12-07,24,很不错，全场爆笑！徐峥第一次自编自导自演体现出的才华让人意外~这年头，能把一个故事讲好是多么不容易！
大头绿豆,20,2012-12-17,28,①从前负责逗哏的都纷纷无趣了，有点意思的一上银幕就都露馅了。像我们这种笑点的，基本也就告别国产自行车了。②王宝强的戏份应该统统给黄渤。前者演什么都是傻根，就像刘德华演什么都是刘德华。
老晃,40,2012-12-12,12,喜剧，是一切吸金大法的不二法门！无论2亿、3亿、5亿……甚至更多，《泰囧》，将给来年的中等成本类型片注入活力，恭喜所有年轻导演。
